metric,file_type,rows,value
save_latency,csv,1,0.0037716999995609513
save_latency,excel,1,0.06907420000061393
save_latency,csv,10,0.002913599999374128
save_latency,excel,10,0.03817130000061297
save_latency,csv,100,0.002523999999539228
save_latency,excel,100,0.045470200000636396
save_latency,csv,1000,0.009035500001118635
save_latency,excel,1000,0.06341189999875496
save_latency,csv,10000,0.011005299998942064
save_latency,excel,10000,0.21320550000018557
save_latency,csv,100000,0.09704359999886947
save_latency,excel,100000,1.9784859000010329
save_latency,csv,200000,0.2149477000002662
save_latency,excel,200000,5.44249420000051
save_latency,csv,300000,0.3341307999999117
save_latency,excel,300000,6.9928245000010065
save_latency,csv,400000,0.4889170999995258
save_latency,excel,400000,9.309547000000748
save_latency,csv,500000,0.4725457999993523
save_latency,excel,500000,10.814677200000006
save_latency,csv,600000,0.5926032000006671
save_latency,excel,600000,13.33156659999986
save_latency,csv,700000,0.6792030999986309
save_latency,excel,700000,15.223695399999997
save_latency,csv,800000,0.7885781000004499
save_latency,excel,800000,17.596280300000217
save_latency,csv,900000,0.9943026000000827
save_latency,excel,900000,19.00930890000018
save_latency,csv,1000000,1.028748300001098
save_latency,excel,1000000,21.51162959999965
read_latency,csv,1,0.009208800000124029
read_latency,excel,1,0.006783300001188763
read_latency,csv,10,0.001757500000167056
read_latency,excel,10,0.007552400000349735
read_latency,csv,100,0.0016305999997712206
read_latency,excel,100,0.008175000000846921
read_latency,csv,1000,0.002505499998733285
read_latency,excel,1000,0.019952299999204115
read_latency,csv,10000,0.005565599998590187
read_latency,excel,10000,0.1174829999999929
read_latency,csv,100000,0.03387549999933981
read_latency,excel,100000,2.060979400001088
read_latency,csv,200000,0.08089719999952649
read_latency,excel,200000,3.0947997999992367
read_latency,csv,300000,0.10897490000024845
read_latency,excel,300000,4.502372999999352
read_latency,csv,400000,0.19018970000070112
read_latency,excel,400000,5.984404700000596
read_latency,csv,500000,0.18868389999988722
read_latency,excel,500000,7.260638499999914
read_latency,csv,600000,0.18984359999922162
read_latency,excel,600000,9.251662200000283
read_latency,csv,700000,0.2419264000000112
read_latency,excel,700000,9.76548720000028
read_latency,csv,800000,0.2594361999999819
read_latency,excel,800000,12.088877700000012
read_latency,csv,900000,0.28863210000054096
read_latency,excel,900000,16.918988499999614
read_latency,csv,1000000,0.3198881000007532
read_latency,excel,1000000,16.13897949999955
file_size,csv,1,80
file_size,excel,1,5472
file_size,csv,10,575
file_size,excel,10,5585
file_size,csv,100,5525
file_size,excel,100,6584
file_size,csv,1000,55025
file_size,excel,1000,16730
file_size,csv,10000,550025
file_size,excel,10000,116547
file_size,csv,100000,5500025
file_size,excel,100000,1130222
file_size,csv,200000,11000025
file_size,excel,200000,2258685
file_size,csv,300000,16500025
file_size,excel,300000,3387007
file_size,csv,400000,22000025
file_size,excel,400000,4515681
file_size,csv,500000,27500025
file_size,excel,500000,5644053
file_size,csv,600000,33000025
file_size,excel,600000,6772359
file_size,csv,700000,38500025
file_size,excel,700000,7901025
file_size,csv,800000,44000025
file_size,excel,800000,9029446
file_size,csv,900000,49500025
file_size,excel,900000,10157729
file_size,csv,1000000,55000025
file_size,excel,1000000,11286369
