Title	Text	Link
Deadly Strike on Russians in Ukraine Exposes Moscow’s Military Failings		nytimes.com/2023/01/02/world/europe/ukraine-russia-himars-makiivka.html
In Romania, U.S. Troops Train Close to Russia’s War, in Signal to Moscow		nytimes.com/2023/01/03/world/europe/us-troops-romania-russia-ukraine-war.html
To Buff a Balkan Leader’s Image, a Filmmaker Calls In Kevin Spacey		nytimes.com/2023/01/02/world/europe/kevin-spacey-franjo-tudjman-croatia.html
In a Hospital Ward, the Wounds of a Failed Democracy Don’t Heal		nytimes.com/2023/01/03/world/middleeast/tunisia-democracy.html
Britain Prepares for Another Installment in the Royal Family Drama		nytimes.com/2023/01/03/world/europe/prince-harry-itv-cbs-interviews-spare.html
Top French Film Awards Bar Nominees Investigated on Sexual Violence Charges		nytimes.com/2023/01/03/world/europe/france-cesar-awards-sexual-abuse.html
‘Biofoul’ on Hull Strands Cruise Ship at Sea for 6 Days		nytimes.com/2023/01/02/world/australia/biofoul-cruise-ship.html
Hard-Line Israeli Minister Visits Volatile Jerusalem Holy Site		nytimes.com/2023/01/03/world/middleeast/israel-ben-gvir-holy-site.html
China Denounces Covid Testing Rules Imposed on Its Travelers		nytimes.com/2023/01/03/world/asia/china-covid.html
A Cop Called Coco, an Actor Named Mani, a Quebecer Exploring Quebec		nytimes.com/2022/12/30/world/canada/mani-suleymanlou-quebec.html
His Job Description? Protecting German Democracy. Literally.		nytimes.com/2022/12/23/world/europe/germany-democracy-thomas-haldenwang.html
Paintbrush in Hand, a Russian Muralist Wages His Own War		nytimes.com/2022/12/14/world/europe/ukraine-russia-war-art-dissent.html
She Came Out of Nowhere, and Now No One in France Can Ignore Her		nytimes.com/2022/12/09/world/europe/sandrine-rousseau-france-ecofeminist.html
The Drummer Who Reminds People That ‘You Can Play Music as You Like’		nytimes.com/2022/12/02/world/americas/argentina-miguel-tomasin-drummer.html
Wild and Wilde: At Celebrity Cemetery, Nature Takes on Starring Role		nytimes.com/2022/12/28/world/europe/paris-pere-lachaise-cemetery-.html
At France’s Oldest Christmas Market, Energy Crisis Dims Festive Spirits		nytimes.com/2022/12/22/world/europe/strasbourg-france-christmas-market.html
Frontline City’s Final Food Stand Finds a Way to Keep the Pizza Coming		nytimes.com/2022/12/22/world/europe/ukraine-bakhmut-food-stand.html
To Save a Ruin, Send in the Sheep		nytimes.com/2022/12/22/world/europe/pompeii-sheep-mount-vesuvius.html
His Estate Has 3 Swimming Pools and a Stable. He Says He’s Not Rich.		nytimes.com/2022/12/10/world/middleeast/qatar-wealth-world-cup.html
Lula asume la presidencia de Brasil, con Bolsonaro en Florida		nytimes.com/es/2023/01/02/espanol/lula-brasil.html
De China a México: este podría ser el rumbo de la globalización		nytimes.com/es/2023/01/02/espanol/mexico-china-manufactura-globalizacion.html
‘La gente se ha unido más’: una ciudad rusa llora a sus soldados muertos, pero apoya la guerra		nytimes.com/es/2022/12/30/espanol/rizan-rusia-apoyo-guerra.html
Los nómadas digitales llegan a Ciudad de México y los precios de la vivienda suben		nytimes.com/es/2022/12/28/espanol/mexico-precio-airbnb.html
Covid en China: el abrupto aumento de casos impulsa una escasez de medicinas		nytimes.com/es/2022/12/26/espanol/china-covid-medicinas.html
Your Wednesday Briefing: Chaos in the U.S. House Speaker Race		nytimes.com/2023/01/03/briefing/us-house-speaker-mccarthy-asia.html
Activist who removed Banksy mural from Kyiv suburb could face prison, police say.		nytimes.com/2023/01/03/world/europe/banksy-mural-ukraine-prison.html
Germany’s Inflation Rate Hit a High in 2022		nytimes.com/2023/01/03/world/europe/germany-inflation.html
Deadly strike on Russians in Ukraine exposes Moscow’s military failings.		nytimes.com/2023/01/03/world/deadly-strike-on-russians-in-ukraine-exposes-moscows-military-failings.html
Your Tuesday Briefing		nytimes.com/2023/01/03/briefing/strike-ukraine-china-economy.html
Benedict XVI Lies in State in St. Peter’s Basilica		nytimes.com/video/world/europe/100000008710811/pope-benedict-vatican-city.html
A U.S.-made long-range rocket system has helped give Ukraine momentum in the war.		nytimes.com/2023/01/03/world/europe/himars-rockets-us-ukraine-war.html
To Buff a Balkan Leader’s Image, a Filmmaker Calls In Kevin Spacey		nytimes.com/2023/01/02/world/europe/kevin-spacey-franjo-tudjman-croatia.html
Dubai Suspends Alcohol Tax as Regional Competition Heats Up		nytimes.com/2023/01/02/world/middleeast/dubai-alcohol-tax.html
The Question of Life Itself		nytimes.com/2023/01/02/briefing/when-does-life-begin.html
